Year,City,Province,Registered_Voters,Votes_Cast,Turnout_Percent,High_Turnout
1970,Rahim Yar Khan,Punjab,602472.0,166960.0,27.712491202910677,0
1970,Rawalpindi,Punjab,805858.0,227353.0,28.212538685475604,0
1970,Sahiwal,Punjab,1350606.0,483541.0,35.801780830234726,0
1970,Sanghar,Sindh,312998.0,98600.0,31.501798733538234,0
1970,Sargodha,Punjab,923819.0,265269.0,28.71439102248384,0
1970,Shaheed Benazirabad,Sindh,467501.0,151442.0,32.3939414033339,0
1970,Sheikhupura,Punjab,724610.0,274420.0,37.87140668773547,0
1970,Sialkot,Punjab,1042659.0,398039.0,38.17537660922699,0
1970,Sukkur,Sindh,527683.0,122135.0,23.145524870045083,0
1970,Swat,KPK,460657.0,54299.0,11.78729510242979,0
1970,Tharparkar,Sindh,491072.0,145065.0,29.54047471653851,0
1970,Thatta,Sindh,174247.0,67368.0,38.66235860588704,0
1970,Tribal Area,KPK,16671.0,7599.0,45.58214864135325,0
1977,Bahawalpur,Punjab,159477.0,69544.0,43.607542153413966,0
1977,Hyderabad,Sindh,544485.0,230944.0,42.41512622018972,0
1977,Islamabad,Punjab,106970.0,43794.0,40.940450593624384,0
1977,Jacobabad,Sindh,174502.0,98824.0,56.63201567890339,1
1977,Karachi City,Sindh,485487.0,174771.0,35.999110171848066,0
1977,Khairpur,Sindh,199543.0,104997.0,52.618733806748416,1
1977,Larkana,Sindh,434085.0,0.0,0.0,0
1977,Peshawar,KPK,136262.0,47832.0,35.102963408727305,0
1977,Quetta,Balochistan,158747.0,30497.0,19.211071705292067,0
1977,Sahiwal,Punjab,376269.0,176691.0,46.958691786992816,0
1977,Sanghar,Sindh,173482.0,57740.0,33.28299189541278,0
1977,Shaheed Benazirabad,Sindh,188318.0,83886.0,44.54486559967714,0
1977,Sialkot,Punjab,338778.0,164423.0,48.534143303284154,0
1977,Sukkur,Sindh,682020.0,186984.0,27.416204803378204,0
1988,Abbottabad,KPK,716254.0,127588.0,17.81323385279524,0
1988,Attock,Punjab,525437.0,115405.0,21.963622660756666,0
1988,Badin,Sindh,345510.0,74342.0,21.51659865126914,0
1988,Bahawalnagar,Punjab,799540.0,159964.0,20.007004027315705,0
1988,Bahawalpur,Punjab,890087.0,176143.0,19.789413843815268,0
1988,Bannu,KPK,412107.0,56666.0,13.750312418862093,0
1988,Bhakkar,Punjab,385300.0,98413.0,25.541915390604725,0
1988,Chakwal,Punjab,527660.0,137549.0,26.067733009892734,0
1988,Charsadda,KPK,338681.0,63195.0,18.65915123670947,0
1988,Chitral,KPK,116406.0,32819.0,28.1935639056406,0
1988,Dadu,Sindh,595992.0,188454.0,31.62022309024282,0
1988,Dera Ghazi Khan,Punjab,671467.0,136396.0,20.313135269492022,0
1988,Dera Ismail Khan,KPK,373098.0,62472.0,16.744126208127625,0
1988,Dir,KPK,288298.0,35288.0,12.240112661204726,0
1988,Faisalabad,Punjab,1934653.0,443574.0,22.927832536377323,0
1988,Gujranwala,Punjab,1519085.0,358510.0,23.60039102486036,0
